region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,comes_furnished,laundry_options,parking_options,state
nashville,799,apartment,1014,2,2,1,1,1,0,NA,NA,tn
phoenix,1600,house,1350,3,2,0,0,1,0,w/d in unit,attached garage,az
pullman / moscow,1300,house,2400,3,2.5,1,1,1,0,w/d hookups,attached garage,id
bowling green,899,apartment,858,2,1,1,1,0,0,w/d hookups,NA,ky
richmond,735,townhouse,900,2,1,1,1,1,0,w/d hookups,NA,va
boston,3300,apartment,1000,2,2,1,1,1,0,w/d in unit,attached garage,ma
vermont,1400,apartment,800,2,1,0,0,0,0,no laundry on site,off-street parking,vt
daytona beach,820,apartment,710,1,1,1,1,1,0,NA,NA,fl
myrtle beach,1125,apartment,1456,3,2,0,0,1,0,NA,NA,sc
corvallis/albany,1030,apartment,728,1,1,1,1,0,0,w/d in unit,carport,or
worcester / central MA,1965,apartment,847,1,1,0,0,1,0,NA,NA,ma
battle creek,908,townhouse,1200,3,1,1,1,1,0,w/d hookups,off-street parking,mi
space coast,907,apartment,675,1,1,1,1,1,0,w/d in unit,street parking,fl
indianapolis,749,apartment,900,2,2,0,0,1,0,NA,NA,in
bakersfield,1250,apartment,725,1,1,0,0,1,0,w/d in unit,NA,ca
SF bay area,2330,apartment,1100,3,2,1,1,1,0,laundry on site,carport,ca
pueblo,735,apartment,850,2,1.5,1,1,0,0,laundry in bldg,carport,co
memphis,750,apartment,1055,2,1,1,1,1,0,NA,NA,tn
rockford,1000,apartment,1222,3,1,0,1,0,0,w/d in unit,detached garage,il
ogden-clearfield,900,apartment,830,2,1,1,1,1,0,NA,NA,ut
hawaii,3200,house,1102,3,2,0,0,0,0,laundry on site,carport,hi
kenosha-racine,902,apartment,1044,2,2,0,1,0,0,w/d in unit,detached garage,wi
"washington, DC",2498,apartment,842,2,1,1,1,1,0,w/d in unit,NA,dc
springfield,995,house,1632,4,2,0,0,1,0,NA,NA,mo
raleigh / durham / CH,1030,apartment,918,2,1.5,1,1,1,0,w/d in unit,off-street parking,nc
memphis,855,apartment,660,2,1,1,1,1,0,laundry in bldg,detached garage,tn
flint,560,house,740,2,1,0,0,1,0,NA,NA,mi
south bend / michiana,1079,manufactured,1568,3,2,1,1,1,0,w/d hookups,off-street parking,in
seattle-tacoma,2200,house,1950,3,2.5,1,1,1,0,w/d in unit,attached garage,wa
inland empire,2014,apartment,926,2,1,1,1,1,0,w/d in unit,detached garage,ca
billings,1035,apartment,1040,2,2,1,1,0,0,w/d in unit,detached garage,mt
atlanta,1412,apartment,873,1,1,1,1,0,0,w/d in unit,carport,ga
gulfport / biloxi,825,apartment,944,2,2,1,1,1,0,w/d in unit,NA,ms
manhattan,815,apartment,1012,2,2,0,0,1,0,NA,NA,ks
holland,969,manufactured,960,2,2,1,1,1,0,w/d in unit,NA,mi
bend,1695,townhouse,1735,2,2.5,0,0,1,0,w/d in unit,detached garage,or
south bend / michiana,629,apartment,549,1,1,0,0,1,0,NA,NA,in
killeen / temple / ft hood,475,apartment,525,1,1,1,1,1,0,no laundry on site,no parking,tx
nashville,900,apartment,1748,3,3,0,0,1,0,NA,NA,tn
"kansas city, MO",966,apartment,928,2,1,0,0,1,0,NA,NA,ks
peoria,550,apartment,500,0,1,1,0,0,0,no laundry on site,NA,il
visalia-tulare,1150,apartment,957,2,2,1,1,1,0,laundry on site,off-street parking,ca
fort wayne,899,manufactured,1200,3,2,0,0,1,0,w/d hookups,off-street parking,in
lakeland,879,apartment,871,2,1,1,1,1,0,w/d in unit,NA,fl
dallas / fort worth,339,apartment,585,2,1,1,1,1,1,laundry on site,off-street parking,tx
indianapolis,649,apartment,850,2,1,1,1,1,0,laundry in bldg,NA,in
detroit metro,975,townhouse,1275,2,1,1,1,1,0,w/d in unit,carport,mi
lansing,1210,manufactured,1456,3,2,1,1,0,0,w/d hookups,off-street parking,mi
albany,710,house,2039,3,2,0,0,1,0,NA,NA,ny
modesto,1516,apartment,786,1,1,1,1,1,0,w/d in unit,carport,ca
anchorage / mat-su,1700,duplex,1486,3,2,0,0,0,0,w/d in unit,attached garage,ak
birmingham,1015,apartment,1100,2,2,1,1,1,0,laundry on site,off-street parking,al
fredericksburg,1394,apartment,1385,4,2,0,0,1,0,NA,NA,va
fort collins / north CO,1327,apartment,550,1,1,0,0,1,0,laundry on site,off-street parking,co
eastern panhandle,1150,apartment,1150,2,2,1,1,1,0,w/d in unit,NA,wv
oklahoma city,825,manufactured,1216,3,2,1,1,1,0,w/d hookups,off-street parking,ok
corpus christi,1127,apartment,713,1,1,1,1,0,0,w/d in unit,NA,tx
grand rapids,1375,apartment,1030,2,2,1,1,0,0,w/d in unit,carport,mi
chicago,850,apartment,750,2,1,0,0,0,0,laundry in bldg,street parking,il
hawaii,2775,townhouse,1500,3,2.5,1,1,1,0,w/d in unit,attached garage,hi
cleveland,845,house,1275,3,1.5,1,1,1,0,w/d hookups,detached garage,oh
monterey bay,2995,apartment,1501,3,2.5,0,0,1,0,NA,attached garage,ca
chattanooga,736,apartment,930,2,1,0,0,1,0,w/d hookups,off-street parking,tn
wichita,523,apartment,625,1,1,1,1,0,0,laundry on site,NA,ks
sioux falls / SE SD,860,apartment,913,2,1,1,1,1,0,laundry in bldg,NA,sd
south florida,3500,apartment,1650,1,2,0,0,1,0,w/d in unit,attached garage,fl
salt lake city,879,apartment,756,1,1,1,1,1,0,w/d in unit,carport,ut
baton rouge,669,apartment,830,2,2,1,1,0,0,w/d in unit,attached garage,la
salt lake city,1244,apartment,712,1,1,0,0,1,0,NA,NA,ut
norfolk / hampton roads,879,apartment,960,2,1.5,1,1,1,0,NA,NA,va
stockton,1880,apartment,775,1,1,0,0,1,0,w/d in unit,NA,ca
galveston,1132,apartment,665,1,1,1,1,0,0,w/d in unit,NA,tx
san diego,2152,apartment,686,1,1,1,1,1,0,w/d in unit,attached garage,ca
birmingham,870,apartment,851,1,1,1,1,1,0,laundry on site,off-street parking,al
sarasota-bradenton,1600,house,1000,3,1,0,0,0,0,w/d in unit,off-street parking,fl
albany,800,apartment,400,1,1,0,0,0,0,NA,NA,ny
corpus christi,845,apartment,652,1,1,1,1,1,0,w/d hookups,NA,tx
billings,850,apartment,1130,2,1,0,0,0,0,w/d hookups,attached garage,mt
austin,1910,townhouse,1400,3,2.5,1,1,1,0,w/d in unit,attached garage,tx
austin,1605,apartment,768,1,1,1,1,1,0,w/d in unit,carport,tx
stockton,975,apartment,550,0,1,1,1,1,0,laundry on site,carport,ca
champaign urbana,1400,apartment,1100,2,1,0,0,0,1,w/d in unit,off-street parking,il
hartford,706,apartment,556,0,1,1,1,0,0,w/d in unit,NA,ct
grand rapids,479,apartment,2000,4,4.5,0,0,1,0,NA,NA,mi
memphis,750,apartment,1044,3,2,0,0,1,0,w/d hookups,off-street parking,tn
orange county,1575,apartment,712,1,1,1,1,1,0,laundry on site,carport,ca
kenosha-racine,925,apartment,700,2,1,0,1,1,0,NA,off-street parking,wi
SF bay area,1800,apartment,450,0,1,1,1,1,0,laundry in bldg,NA,ca
greenville / upstate,799,apartment,851,2,2,0,0,1,0,NA,NA,sc
corvallis/albany,995,duplex,900,2,1,0,0,0,0,w/d hookups,carport,or
lexington,2200,duplex,1423,2,1.5,0,0,0,1,laundry in bldg,off-street parking,ky
orange county,1615,apartment,788,1,1,1,1,1,0,laundry on site,carport,ca
tallahassee,919,apartment,962,1,1,1,1,1,0,NA,NA,fl
kenosha-racine,850,apartment,710,1,1,1,1,1,0,NA,off-street parking,wi
charlottesville,1999,apartment,1655,3,2,1,1,0,0,w/d in unit,detached garage,va
stockton,1295,apartment,708,1,1,0,0,1,0,w/d hookups,carport,ca
pittsburgh,1410,apartment,775,1,1,1,1,1,0,w/d in unit,attached garage,pa
monterey bay,1992,apartment,875,2,1,1,1,1,0,w/d in unit,carport,ca
cedar rapids,995,apartment,1005,3,2,0,0,1,0,laundry in bldg,off-street parking,ia
raleigh / durham / CH,1029,apartment,1025,2,2,1,1,1,0,w/d in unit,off-street parking,nc
tallahassee,875,apartment,1281,3,2,1,1,1,0,w/d hookups,off-street parking,fl
jacksonville,500,house,1413,4,2,1,1,1,0,NA,NA,nc
minneapolis / st paul,1462,apartment,705,1,1,1,1,0,0,w/d in unit,attached garage,mn
jacksonville,9976.19999999997,apartment,842,1,1,1,1,1,0,w/d hookups,off-street parking,nc
yuma,1000,manufactured,1300,3,2,0,0,1,0,w/d hookups,carport,az
ft myers / SW florida,1525,apartment,1344,4,2,1,1,1,0,w/d hookups,off-street parking,fl
norfolk / hampton roads,1040,apartment,855,2,1,0,0,1,0,NA,NA,va
"kansas city, MO",705,apartment,625,1,1,1,1,1,0,laundry on site,NA,ks
holland,899,townhouse,1180,3,2.5,1,1,1,0,w/d in unit,carport,mi
little rock,960,apartment,1375,3,2,1,1,1,0,w/d in unit,off-street parking,ar
treasure coast,1649,townhouse,1598,3,2.5,1,1,0,0,w/d hookups,attached garage,fl
south florida,2200,apartment,1000,2,2,1,1,1,0,w/d in unit,attached garage,fl
portland,1985,apartment,913,1,1,1,1,0,0,w/d in unit,detached garage,or
charlotte,1096,apartment,1022,2,2,1,1,1,0,w/d hookups,NA,nc
north dakota,873,apartment,758,1,1,1,1,0,1,w/d in unit,attached garage,nd
lancaster,1200,townhouse,2000,2,2.5,1,0,0,0,w/d in unit,off-street parking,pa
omaha / council bluffs,1135,apartment,805,1,1,1,1,0,1,w/d in unit,attached garage,ia
ann arbor,1489,apartment,1035,2,2,1,1,0,0,w/d in unit,carport,mi
spokane / coeur d'alene,1395,apartment,1290,3,2,1,1,1,0,w/d in unit,off-street parking,id
rochester,757,apartment,911,2,1,1,1,1,0,laundry on site,off-street parking,ny
orlando,1200,apartment,1066,2,2,0,0,1,0,NA,NA,fl
ventura county,1699,apartment,550,1,1,1,1,0,0,laundry on site,carport,ca
palm springs,4210,condo,1400,2,2,1,1,1,0,NA,NA,ca
cedar rapids,999,townhouse,960,2,1.5,1,1,1,0,w/d hookups,street parking,ia
detroit metro,1095,townhouse,1200,2,1,1,1,1,0,w/d in unit,off-street parking,mi
dallas / fort worth,1095,apartment,882,2,1,1,1,1,0,NA,NA,tx
pittsburgh,2370,apartment,926,2,1,0,0,1,0,NA,NA,pa
ventura county,1913,apartment,772,1,1,1,1,1,0,w/d in unit,NA,ca
hawaii,1000,apartment,614,2,1,0,0,1,0,laundry in bldg,NA,hi
lincoln,965,apartment,690,1,1,1,1,1,0,w/d in unit,attached garage,ne
milwaukee,1340,apartment,900,1,1,1,1,1,0,laundry on site,attached garage,wi
albany,1550,apartment,570,0,1,1,0,0,0,w/d in unit,NA,ny
"kansas city, MO",800,house,1000,3,1,0,0,0,0,w/d hookups,off-street parking,ks
panama city,1245,apartment,1269,2,2,1,1,0,0,w/d hookups,NA,fl
tri-cities,899,apartment,1000,2,2,1,1,0,0,w/d hookups,NA,tn
ft myers / SW florida,1150,condo,1136,2,2,0,0,0,0,w/d in unit,off-street parking,fl
boston,2100,apartment,985,2,1,0,0,0,0,laundry in bldg,street parking,ma
akron / canton,774,apartment,1050,2,1.5,1,1,1,0,NA,NA,oh
topeka,950,apartment,1248,3,2,0,0,1,0,NA,NA,ks
south florida,2400,apartment,924,2,2,0,0,1,1,NA,NA,fl
grand rapids,1049,apartment,784,2,1,1,1,0,0,w/d in unit,carport,mi
fresno / madera,1630,apartment,967,2,2,1,1,1,0,w/d in unit,attached garage,ca
wichita,495,apartment,600,1,1,1,1,1,0,laundry on site,off-street parking,ks
kennewick-pasco-richland,1335,apartment,1028,2,1,1,1,0,0,w/d in unit,off-street parking,wa
tallahassee,819,apartment,909,2,2,1,1,0,0,NA,NA,fl
pittsburgh,950,apartment,763,3,1,1,1,1,0,laundry in bldg,off-street parking,pa
jacksonville,1000,apartment,955,2,1.5,1,1,1,0,w/d in unit,off-street parking,fl
baton rouge,89.691,apartment,971,2,2,1,1,1,0,w/d in unit,NA,la
minneapolis / st paul,995,apartment,625,1,1,1,1,1,0,laundry in bldg,off-street parking,mn
ann arbor,1458,apartment,1100,2,2,1,1,1,0,w/d in unit,carport,mi
ventura county,2215,apartment,895,2,2,1,1,1,0,w/d in unit,carport,ca
galveston,1164,apartment,1051,2,2,1,1,1,0,w/d in unit,carport,tx
fort wayne,788,apartment,1104,2,2,0,0,1,0,NA,NA,in
fort collins / north CO,1198,apartment,829,1,1,0,0,1,0,NA,NA,co
boulder,1940,apartment,1300,3,2,1,1,0,0,w/d in unit,off-street parking,co
jacksonville,839,apartment,755,1,1,0,0,1,0,w/d in unit,NA,fl
rhode island,1575,apartment,794,2,1,1,1,1,0,w/d in unit,street parking,ri
tucson,690,apartment,567,1,1,1,1,1,0,laundry on site,off-street parking,az
dallas / fort worth,1550,apartment,993,1,1,1,1,1,0,w/d hookups,NA,tx
gainesville,780,in-law,475,1,1,0,0,1,0,w/d in unit,NA,fl
louisville,874,townhouse,950,2,1.5,1,1,1,0,laundry on site,off-street parking,ky
st joseph,875,apartment,1000,2,2,1,1,0,0,w/d in unit,off-street parking,mo
galveston,781,apartment,640,1,1,1,1,0,0,laundry on site,off-street parking,tx
san antonio,1269,apartment,716,1,1,0,0,1,0,NA,NA,tx
hilton head,2300,apartment,1443,1,1.5,1,1,1,0,w/d in unit,attached garage,sc
chicago,883,apartment,400,0,1,1,1,1,0,laundry in bldg,detached garage,il
toledo,895,apartment,1031,2,1.5,1,1,0,0,w/d in unit,off-street parking,oh
hanford-corcoran,1536,townhouse,1205,3,2,1,1,1,0,w/d hookups,attached garage,ca
south jersey,950,apartment,700,1,1,1,1,1,0,laundry on site,off-street parking,nj
tucson,629,apartment,506,1,1,0,0,1,0,NA,NA,az
lansing,1625,apartment,1300,2,2,1,1,1,0,w/d in unit,attached garage,mi
reno / tahoe,980,apartment,580,1,1,1,1,0,1,w/d in unit,carport,ca
cincinnati,397,house,1496,3,2,0,1,1,0,NA,NA,oh
northeast SD,834,apartment,825,1,1,1,0,1,0,w/d in unit,detached garage,sd
new haven,1550,apartment,730,2,1,1,1,0,0,laundry in bldg,off-street parking,ct
greensboro,725,apartment,1062,2,1.5,1,1,1,0,w/d hookups,off-street parking,nc
tulsa,599,apartment,725,1,1,1,1,1,0,laundry on site,off-street parking,ok
knoxville,1100,house,1100,2,1,0,0,0,0,w/d hookups,off-street parking,tn
birmingham,919,apartment,702,1,1,1,1,1,0,w/d hookups,NA,al
reno / tahoe,1800,house,1866,3,2,1,1,1,0,w/d in unit,attached garage,ca
duluth / superior,582,apartment,688,1,1,1,1,1,0,laundry in bldg,off-street parking,mn
louisville,1800,house,2500,0,1,0,0,1,0,no laundry on site,street parking,ky
anchorage / mat-su,900,apartment,747,2,1,0,0,0,0,laundry in bldg,off-street parking,ak
killeen / temple / ft hood,925,apartment,820,2,1,1,1,0,1,w/d in unit,attached garage,tx
memphis,850,apartment,1460,3,2,1,1,1,0,NA,NA,tn
cedar rapids,1195,house,1451,4,1,1,1,1,1,w/d in unit,detached garage,ia
helena,1000,apartment,1080,2,1,0,0,0,1,laundry in bldg,NA,mt
corpus christi,975,apartment,890,2,2,1,1,1,0,w/d hookups,NA,tx
jacksonville,982,apartment,1150,2,2,1,1,1,0,NA,NA,fl
san diego,1500,apartment,735,1,1,1,1,1,0,w/d in unit,off-street parking,ca
panama city,1650,house,1795,4,2,0,0,0,0,w/d hookups,off-street parking,fl
philadelphia,950,townhouse,1130,3,1,1,1,1,0,NA,NA,pa
pensacola,1550,apartment,1241,3,2,1,1,1,0,NA,NA,fl
greenville / upstate,755,apartment,623,1,1,1,1,1,0,laundry on site,off-street parking,sc
SF bay area,3742,apartment,1117,2,2,1,1,0,0,w/d in unit,attached garage,ca
spokane / coeur d'alene,89.691,townhouse,926,3,1.5,0,0,1,0,laundry on site,off-street parking,id
lafayette,409,apartment,1189,4,2,1,1,0,1,w/d in unit,off-street parking,la
springfield,499,manufactured,1024,3,2,1,1,1,0,w/d hookups,NA,il
muskegon,899,apartment,950,2,1,1,1,1,0,w/d in unit,off-street parking,mi
fargo / moorhead,870,apartment,1250,3,2,1,0,1,0,w/d hookups,detached garage,mn
jacksonville,939,apartment,675,1,1,0,0,1,0,w/d in unit,off-street parking,fl
orange county,2125,apartment,741,1,1,1,1,0,0,w/d in unit,NA,ca
lexington,525,apartment,300,0,1,0,1,1,0,laundry on site,off-street parking,ky
york,1435,apartment,1350,3,2,1,1,1,0,w/d in unit,off-street parking,pa
palm springs,9976.19999999997,house,2632,3,2,0,0,1,0,NA,NA,ca
lawrence,570,apartment,576,1,1,1,1,1,0,laundry on site,off-street parking,ks
detroit metro,1390,apartment,1090,2,2,1,0,1,0,laundry in bldg,carport,mi
birmingham,695,house,836,2,1,0,0,1,0,NA,NA,al
san antonio,1045,apartment,1040,2,2,1,1,1,0,laundry on site,NA,tx
worcester / central MA,1550,house,1604,3,2.5,1,1,1,0,NA,NA,ma
akron / canton,540,house,770,3,1,0,0,1,0,NA,NA,oh
st cloud,1545,apartment,1388,3,2,1,1,1,0,w/d in unit,attached garage,mn
phoenix,1588,apartment,1119,2,2,1,1,1,0,w/d in unit,attached garage,az
northern panhandle,1160,house,2048,3,2.5,1,1,1,0,NA,NA,oh
san antonio,717,apartment,690,1,1,1,1,1,0,laundry on site,NA,tx
norfolk / hampton roads,505,house,1945,3,2.5,0,0,1,0,w/d hookups,attached garage,va
minneapolis / st paul,2080,apartment,1105,2,2,1,1,1,0,w/d in unit,attached garage,mn
boulder,1530,apartment,974,1,1,1,0,0,0,w/d in unit,off-street parking,co
lafayette,1050,house,1450,3,2,0,0,0,0,w/d in unit,off-street parking,la
huntsville / decatur,968,apartment,1000,2,2,1,1,1,0,w/d hookups,NA,al
austin,1169,house,1918,3,2.5,1,1,1,0,w/d hookups,attached garage,tx
amarillo,847,apartment,865,2,2,1,1,1,0,w/d hookups,carport,tx
grand rapids,1000,apartment,1400,2,2,1,1,1,1,NA,NA,mi
columbus,635,apartment,770,1,1,0,0,1,0,NA,NA,ga
columbia,1225,apartment,1022,2,2,1,1,0,0,NA,NA,sc
huntsville / decatur,1070,apartment,1056,2,2,1,1,1,0,w/d in unit,NA,al
jacksonville,695,apartment,920,2,1,1,1,1,0,laundry on site,off-street parking,nc
columbus,1025,apartment,751,1,1,1,1,0,0,w/d hookups,off-street parking,ga
cincinnati,452,house,1501,3,2,0,1,1,0,NA,attached garage,oh
colorado springs,1437,apartment,1198,2,2,1,1,1,0,NA,NA,co
denver,1421,apartment,740,1,1,1,1,0,0,w/d in unit,off-street parking,co
san diego,2585,apartment,713,1,1,1,1,0,0,w/d in unit,attached garage,ca
fayetteville,855,apartment,960,2,2,1,1,1,0,NA,NA,ar
panama city,1235,apartment,1269,2,2,1,1,0,0,w/d hookups,NA,fl
toledo,699,apartment,700,1,1,1,1,1,0,laundry in bldg,off-street parking,oh
san marcos,1125,apartment,988,2,2,1,1,1,0,w/d in unit,NA,tx
milwaukee,1490,apartment,1260,2,2,1,1,1,0,w/d in unit,attached garage,wi
erie,575,apartment,850,2,1,0,0,1,0,laundry in bldg,street parking,pa
atlanta,1630,apartment,1169,2,2,0,0,1,0,NA,NA,ga
salt lake city,1090,apartment,918,2,1,1,1,1,0,w/d hookups,carport,ut
oregon coast,1600,duplex,1380,3,2.5,0,0,0,0,w/d hookups,attached garage,or
baltimore,1365,apartment,1075,2,2,1,1,1,0,w/d in unit,NA,md
san luis obispo,2195,apartment,804,1,1,1,1,0,0,w/d hookups,attached garage,ca
corvallis/albany,1505,apartment,883,2,1,1,1,0,0,w/d in unit,carport,or
pensacola,750,apartment,600,1,1,1,1,1,0,w/d hookups,NA,fl
sioux falls / SE SD,685,apartment,924,2,2,0,0,1,0,NA,NA,sd
greensboro,1055,apartment,1096,2,2,1,1,1,0,NA,NA,nc
dallas / fort worth,1157,apartment,932,2,2,0,0,1,0,NA,NA,tx
charlotte,1520,apartment,726,1,1,0,0,1,0,NA,NA,nc
florida keys,1685,apartment,300,1,1,0,0,1,0,no laundry on site,street parking,fl
evansville,715,apartment,925,2,1,1,1,1,0,w/d hookups,off-street parking,in
philadelphia,2200,townhouse,1181,4,2,0,0,0,0,w/d in unit,street parking,pa
baltimore,1413,apartment,1040,2,2,1,1,1,0,NA,NA,md
fort wayne,490,house,1886,3,2,0,0,1,0,NA,NA,in
"quad cities, IA/IL",1600,house,1700,3,1.5,1,1,1,0,NA,attached garage,il
tampa bay area,1150,apartment,800,2,2,1,1,1,0,laundry on site,NA,fl
chicago,1775,apartment,1400,2,1,1,1,0,0,laundry in bldg,detached garage,il
south jersey,1395,apartment,745,1,1,1,1,1,0,w/d in unit,off-street parking,nj
flagstaff / sedona,1350,apartment,755,1,1,1,1,1,0,w/d in unit,carport,az
tri-cities,743,apartment,985,2,2,1,1,0,0,w/d hookups,off-street parking,tn
bismarck,705,apartment,890,1,1,0,0,0,0,NA,NA,nd
jacksonville,1633,apartment,1365,3,2,1,1,1,0,NA,NA,fl
monterey bay,2677,apartment,1013,2,2,0,0,1,0,NA,NA,ca
orlando,1415,apartment,1028,2,2,0,0,1,0,NA,NA,fl
memphis,649,apartment,948,2,2,1,1,1,0,w/d hookups,off-street parking,tn
norfolk / hampton roads,1060,apartment,689,1,1,1,1,1,1,w/d hookups,off-street parking,va
huntsville / decatur,799,apartment,920,1,1,1,1,1,0,w/d hookups,off-street parking,al
topeka,720,apartment,941,2,1,1,1,1,0,laundry in bldg,off-street parking,ks
jacksonville,945,apartment,927,1,1,1,1,1,0,no laundry on site,off-street parking,nc
mohave county,870,apartment,650,1,1,1,1,1,0,w/d in unit,carport,az
amarillo,847,apartment,865,2,2,1,1,1,0,w/d hookups,carport,tx
youngstown,750,house,1100,2,1,0,0,0,0,w/d in unit,street parking,oh
"washington, DC",1973,apartment,1004,2,2,1,1,1,0,w/d in unit,NA,dc
bend,2495,house,2224,3,3,0,0,0,0,w/d hookups,attached garage,or
madison,835,apartment,700,1,1,1,0,0,0,laundry on site,off-street parking,wi
jackson,850,apartment,2103,3,2,1,1,1,0,w/d in unit,attached garage,ms
jacksonville,989,apartment,1060,2,1,0,0,1,0,NA,NA,fl
"st louis, MO",891,apartment,841,2,1,1,1,1,0,w/d in unit,off-street parking,il
albany,650,apartment,1200,2,2,1,1,1,0,w/d hookups,off-street parking,ga
madison,775,apartment,550,1,1,0,0,0,0,laundry on site,off-street parking,wi
eastern CT,600,apartment,500,1,1,0,0,1,0,laundry on site,off-street parking,ct
lincoln,1000,apartment,711,1,1,1,1,0,0,w/d in unit,detached garage,ne
memphis,700,apartment,1055,2,1,1,1,1,0,NA,NA,tn
macon / warner robins,635,apartment,825,2,1,1,1,1,0,w/d hookups,NA,ga
san diego,2450,apartment,976,2,2,1,1,1,0,w/d in unit,attached garage,ca
flagstaff / sedona,1199,apartment,585,1,1,1,1,0,0,laundry on site,off-street parking,az
boulder,1802,apartment,1103,2,2,0,0,1,0,NA,NA,co
tulsa,645,apartment,1008,2,2,1,1,1,0,NA,NA,ok
lake charles,700,apartment,715,2,1,0,0,1,0,NA,NA,la
boston,1841,apartment,648,1,1,0,1,1,0,laundry on site,detached garage,ma
skagit / island / SJI,1190,apartment,546,1,1,1,1,0,0,w/d in unit,NA,wa
mobile,964,apartment,807,1,1,1,1,1,0,w/d in unit,NA,al
ft myers / SW florida,980,cottage/cabin,600,1,1,0,0,0,0,w/d in unit,off-street parking,fl
buffalo,1295,apartment,1100,3,1.5,0,0,1,0,w/d hookups,off-street parking,ny
dallas / fort worth,1655,apartment,785,1,1,1,1,1,0,w/d in unit,NA,tx
spokane / coeur d'alene,935,apartment,1000,2,2,1,1,1,0,w/d in unit,carport,id
rochester,1179,apartment,1030,2,1,0,0,1,0,NA,NA,ny
treasure coast,1044,apartment,897,1,1,0,0,1,0,NA,NA,fl
stockton,1455,apartment,880,2,1,1,1,1,0,w/d hookups,carport,ca
mobile,725,house,1000,3,1,1,1,0,0,w/d hookups,carport,al
winchester,1650,townhouse,2100,3,3.5,0,0,0,0,w/d in unit,off-street parking,va
grand rapids,1455,apartment,1160,2,2,1,1,1,0,w/d in unit,off-street parking,mi
panama city,1235,apartment,1082,2,2,0,0,1,0,NA,NA,fl
lubbock,900,house,1175,3,2,0,0,0,0,w/d hookups,off-street parking,tx
greenville / upstate,1275,apartment,1100,2,2,1,1,0,0,w/d in unit,off-street parking,sc
richmond,1090,apartment,658,2,1,1,1,0,0,w/d in unit,off-street parking,va
south jersey,1682,apartment,1009,1,1.5,1,1,1,0,w/d in unit,NA,nj
oklahoma city,800,house,1050,2,1,1,1,0,0,w/d hookups,attached garage,ok
milwaukee,89.691,duplex,1500,3,1.5,1,1,0,1,w/d in unit,off-street parking,wi
memphis,729,apartment,733,1,1,1,1,1,0,NA,NA,tn
new hampshire,1675,apartment,1031,2,1,1,1,1,0,w/d in unit,off-street parking,nh
augusta,770,apartment,720,1,1,1,1,1,0,w/d hookups,off-street parking,ga
lubbock,850,house,1300,3,2,1,1,0,0,w/d hookups,carport,tx
new orleans,1195,apartment,899,2,1,1,1,1,0,w/d in unit,off-street parking,la
buffalo,1200,apartment,796,2,1,1,0,0,0,w/d in unit,off-street parking,ny
annapolis,1300,apartment,805,1,1,1,1,1,0,NA,NA,md
lansing,992,apartment,970,2,1,1,1,1,0,laundry in bldg,carport,mi
little rock,757,apartment,1012,3,1.5,1,1,1,0,w/d in unit,NA,ar
albuquerque,980,apartment,1264,2,2,1,1,1,0,laundry on site,NA,nm
sacramento,1600,apartment,432,0,1,1,1,1,0,w/d in unit,attached garage,ca
stockton,995,apartment,373,0,1,0,0,1,0,laundry on site,NA,ca
harrisburg,1250,apartment,1101,2,2,0,0,1,0,NA,NA,pa
corvallis/albany,945,apartment,564,1,1,1,1,0,0,laundry on site,carport,or
amarillo,399,apartment,1125,4,2,1,1,1,1,w/d in unit,off-street parking,tx
ann arbor,999,apartment,1075,2,2,1,1,1,0,w/d in unit,detached garage,mi
augusta,772,apartment,908,2,1,0,0,1,0,w/d hookups,off-street parking,ga
maine,750,apartment,1000,2,1,1,1,0,1,w/d in unit,off-street parking,me
port huron,999,manufactured,1568,3,2,0,0,1,0,w/d in unit,off-street parking,mi
minneapolis / st paul,1359,apartment,908,1,1,1,1,0,0,laundry in bldg,attached garage,mn
albuquerque,748,apartment,689,2,1,1,1,1,0,laundry on site,NA,nm
lawton,500,apartment,448,1,1,1,1,1,0,laundry on site,off-street parking,ok
rochester,1790,apartment,1418,2,2.5,1,1,0,0,w/d in unit,off-street parking,ny
lexington,825,apartment,470,1,1,0,1,0,0,laundry on site,off-street parking,ky
eugene,1100,apartment,880,2,1,1,1,0,0,laundry on site,off-street parking,or
jackson,605,apartment,572,1,1,0,0,1,0,laundry on site,off-street parking,ms
san antonio,475,apartment,520,1,1,1,1,1,0,laundry on site,off-street parking,tx
ventura county,2260,apartment,1050,3,2,1,1,1,0,w/d in unit,carport,ca
dayton / springfield,605,apartment,550,2,1,1,1,1,0,NA,off-street parking,oh
louisville,929,apartment,1050,2,2,1,1,1,0,w/d hookups,NA,ky
winston-salem,625,apartment,644,1,1,1,1,1,0,laundry on site,NA,nc
kenosha-racine,1039,apartment,997,2,2,1,1,0,0,w/d in unit,attached garage,wi
eastern CT,1510,apartment,1029,2,1,0,0,0,0,w/d in unit,off-street parking,ct
beaumont / port arthur,1129,apartment,1003,2,2,1,1,0,0,laundry on site,off-street parking,tx
salt lake city,1169,apartment,754,1,1,0,0,1,0,NA,NA,ut
manhattan,89.691,apartment,550,1,1,1,1,1,0,NA,NA,ks
grand forks,925,apartment,553,1,1,1,1,1,0,laundry in bldg,off-street parking,nd
provo / orem,1664,apartment,1439,3,2.5,0,0,1,0,NA,NA,ut
duluth / superior,1150,apartment,1250,2,1,0,0,0,0,laundry in bldg,off-street parking,mn
