region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,comes_furnished,laundry_options,parking_options,state
southern maryland,1925,apartment,798,1,1,1,1,1,0,w/d in unit,NA,md
north mississippi,850,apartment,1185,2,2,1,1,1,0,w/d hookups,NA,ms
pensacola,1292,apartment,1127,2,2,1,1,1,0,w/d hookups,street parking,fl
lakeland,1025,manufactured,1216,3,2,1,1,1,0,w/d hookups,carport,fl
harrisburg,1535,townhouse,1320,3,2.5,1,1,1,0,w/d in unit,off-street parking,pa
salt lake city,1023,apartment,860,2,2,0,0,1,0,w/d in unit,carport,ut
appleton-oshkosh-FDL,89.691,apartment,552,1,1,0,0,1,0,laundry in bldg,off-street parking,wi
orlando,1180,apartment,925,2,1,1,1,1,0,laundry on site,street parking,fl
milwaukee,1450,loft,1000,2,1,1,1,0,0,laundry in bldg,off-street parking,wi
hattiesburg,857,apartment,756,1,1,1,1,1,0,w/d in unit,NA,ms
rhode island,950,apartment,704,1,1,0,0,0,0,laundry in bldg,off-street parking,ri
fayetteville,810,apartment,1220,3,2,1,1,1,0,w/d hookups,NA,nc
lancaster,1125,apartment,1104,2,1,0,0,1,0,NA,NA,pa
yuma,675,apartment,475,1,1,1,1,0,0,laundry on site,carport,az
south coast,1055,apartment,964,2,1,1,0,1,0,laundry in bldg,NA,ma
chattanooga,580,apartment,611,1,1,1,1,1,0,laundry on site,carport,tn
winston-salem,795,apartment,1280,3,2,1,1,1,0,w/d hookups,off-street parking,nc
louisville,510,apartment,1300,2,1.5,0,1,1,0,NA,attached garage,ky
hartford,1105,apartment,726,1,1,1,1,1,0,NA,NA,ct
dothan,570,house,765,2,1,1,1,1,0,NA,NA,al
minneapolis / st paul,1525,apartment,715,1,1,1,1,0,0,w/d in unit,attached garage,mn
springfield,760,apartment,1065,2,2,1,1,1,0,w/d hookups,off-street parking,mo
central NJ,2635,apartment,1366,2,2,0,0,0,0,w/d in unit,off-street parking,nj
gulfport / biloxi,545,apartment,592,1,1,1,1,1,0,laundry on site,off-street parking,ms
central michigan,475,apartment,624,1,1,0,0,1,0,laundry in bldg,off-street parking,mi
huntsville / decatur,799,apartment,969,2,2,1,1,0,0,w/d in unit,NA,al
bloomington,635,apartment,508,1,1,1,1,1,0,laundry on site,off-street parking,in
huntsville / decatur,1189,apartment,751,1,1,1,1,0,0,w/d in unit,off-street parking,al
el paso,795,townhouse,922,2,1.5,1,1,1,0,laundry on site,NA,tx
eastern NC,1332,apartment,1200,2,2,1,1,1,0,w/d hookups,NA,nc
reading,1588,apartment,1410,2,2,1,1,1,0,w/d in unit,off-street parking,pa
colorado springs,1025,apartment,900,2,1,1,1,1,0,laundry in bldg,off-street parking,co
lawton,520,apartment,825,2,1,0,0,1,0,laundry on site,off-street parking,ok
grand rapids,655,apartment,465,1,1,1,1,1,0,laundry on site,carport,mi
santa barbara,3200,apartment,1200,1,1.5,1,1,1,0,w/d in unit,attached garage,ca
bloomington-normal,675,apartment,1100,2,1,1,1,1,0,laundry on site,off-street parking,il
modesto,1150,apartment,627,1,1,1,1,0,0,laundry on site,carport,ca
hattiesburg,1172,apartment,1249,3,3,1,1,1,0,w/d in unit,NA,ms
salt lake city,1149,apartment,743,1,1,1,1,0,0,w/d in unit,carport,ut
boston,3000,apartment,1350,2,2,0,0,0,0,w/d in unit,off-street parking,ma
southwest michigan,710,manufactured,750,2,1,0,0,0,0,w/d hookups,street parking,mi
asheville,1410,apartment,1311,3,2,0,0,1,0,NA,NA,nc
florida keys,2470,apartment,1010,2,2,1,1,1,0,w/d hookups,NA,fl
houston,1375,apartment,900,2,1,1,1,1,0,laundry on site,off-street parking,tx
greenville / upstate,601,house,1542,3,2,0,0,1,0,NA,NA,sc
denver,1510,apartment,1170,2,2,0,0,1,0,NA,NA,co
"washington, DC",1675,apartment,940,1,1,1,1,1,0,w/d in unit,detached garage,dc
stockton,1555,apartment,883,2,1,1,1,1,0,w/d hookups,carport,ca
oklahoma city,600,apartment,850,2,1,1,1,0,0,laundry on site,off-street parking,ok
SF bay area,2443,apartment,609,0,1,1,1,0,0,w/d in unit,attached garage,ca
huntsville / decatur,995,apartment,915,1,1,1,1,1,0,w/d hookups,NA,al
daytona beach,1520,apartment,1403,3,2,1,1,1,0,w/d in unit,NA,fl
jackson,765,apartment,950,2,0,1,1,1,0,NA,NA,tn
hawaii,1695,apartment,666,1,1,0,0,0,0,w/d in unit,off-street parking,hi
daytona beach,1379,apartment,1154,2,2,1,1,1,0,w/d in unit,NA,fl
winston-salem,1220,apartment,1292,3,2,0,0,1,0,NA,NA,nc
rochester,899,apartment,970,3,2,1,1,1,0,laundry on site,off-street parking,mn
albuquerque,880,apartment,812,2,1.5,0,0,1,0,laundry on site,street parking,nm
corvallis/albany,1050,apartment,763,2,1,1,1,0,0,laundry on site,carport,or
cincinnati,830,apartment,823,2,1.5,1,1,1,0,laundry in bldg,NA,oh
fayetteville,750,apartment,780,1,1,1,1,1,0,w/d hookups,NA,nc
lancaster,1260,apartment,1070,2,2,1,1,1,0,w/d in unit,NA,pa
texoma,1169,house,1608,3,4,1,1,1,0,w/d hookups,attached garage,ok
augusta,715,apartment,780,2,1,1,1,1,0,laundry on site,NA,ga
harrisburg,610,condo,973,2,1,1,1,1,0,NA,NA,pa
jackson,900,apartment,1341,3,2,0,0,1,0,NA,NA,tn
baltimore,1458,apartment,1010,1,1,1,1,1,0,NA,NA,md
charlottesville,2600,townhouse,1689,4,2.5,1,1,1,0,w/d in unit,off-street parking,va
chattanooga,864,townhouse,1015,2,1.5,1,1,1,0,w/d hookups,off-street parking,tn
rochester,966,apartment,1050,2,1,1,1,0,0,laundry in bldg,off-street parking,ny
fort collins / north CO,1310,apartment,870,2,1,1,1,1,0,NA,NA,co
corvallis/albany,1340,apartment,963,2,2,1,1,0,0,w/d in unit,off-street parking,or
lexington,700,house,1441,3,2,1,1,1,0,w/d in unit,attached garage,ky
treasure coast,1289,apartment,1190,2,2,1,1,1,0,w/d hookups,NA,fl
"washington, DC",2800,apartment,821,2,1,1,1,0,0,w/d in unit,attached garage,dc
space coast,1479,apartment,1148,3,2,1,1,1,0,w/d in unit,NA,fl
des moines,930,townhouse,1114,2,2.5,1,1,1,0,w/d hookups,detached garage,ia
syracuse,830,apartment,920,2,1,1,1,1,0,laundry in bldg,off-street parking,ny
frederick,1789,townhouse,1200,3,1.5,1,1,1,0,w/d in unit,off-street parking,md
colorado springs,1512,apartment,1220,3,2,1,1,1,0,NA,NA,co
inland empire,1730,apartment,1018,2,2,1,0,1,0,w/d in unit,carport,ca
akron / canton,1204,apartment,935,2,2,1,1,1,0,w/d in unit,off-street parking,oh
state college,1140,apartment,781,1,1,1,1,1,0,laundry in bldg,off-street parking,pa
augusta,1353,apartment,1440,3,2,0,0,1,0,NA,NA,ga
phoenix,1312,apartment,1167,2,2,1,1,1,0,w/d in unit,detached garage,az
rochester,925,loft,700,0,1,1,1,0,0,laundry in bldg,off-street parking,ny
new haven,2000,apartment,1070,1,1.5,0,0,0,0,laundry on site,carport,ct
lancaster,1185,apartment,1070,2,2,1,1,1,0,w/d in unit,NA,pa
annapolis,1900,apartment,1067,2,2,0,0,1,0,NA,NA,md
beaumont / port arthur,1175,apartment,1034,2,2,1,1,0,0,laundry on site,off-street parking,tx
tallahassee,899,apartment,1112,3,2,1,1,1,0,w/d hookups,NA,fl
syracuse,900,house,998,2,2,1,1,1,0,w/d in unit,attached garage,ny
philadelphia,2800,apartment,2000,2,2.5,1,0,1,0,NA,NA,pa
lincoln,710,apartment,690,1,1,1,1,1,0,laundry in bldg,off-street parking,ne
memphis,460,apartment,725,2,1,1,1,1,0,NA,NA,tn
monroe,925,condo,1480,5,2.5,1,1,1,0,NA,NA,mi
lancaster,1250,apartment,1070,2,2,1,1,1,0,w/d in unit,NA,pa
boston,3150,apartment,840,2,2,1,1,1,0,laundry in bldg,off-street parking,ma
madison,1075,apartment,850,2,1,1,1,1,0,NA,NA,wi
fredericksburg,1330,apartment,930,2,2,1,1,1,0,w/d in unit,NA,va
mcallen / edinburg,1100,house,2000,3,2,1,1,1,0,w/d hookups,attached garage,tx
daytona beach,900,apartment,792,1,1,1,1,1,0,laundry on site,NA,fl
southern maryland,2700,house,1719,3,2.5,1,1,1,1,w/d in unit,attached garage,md
st cloud,895,apartment,801,1,1,1,1,0,1,w/d in unit,NA,mn
wenatchee,1240,apartment,500,1,1,1,1,1,0,w/d in unit,NA,wa
champaign urbana,4000,house,2659,8,3,1,1,0,1,w/d in unit,off-street parking,il
eau claire,815,duplex,1150,2,1.5,1,1,0,0,w/d hookups,attached garage,wi
sacramento,1599,condo,1200,3,2,0,0,0,0,w/d in unit,detached garage,ca
colorado springs,975,townhouse,1048,2,1.5,0,0,0,0,w/d hookups,off-street parking,co
anchorage / mat-su,1350,house,1000,2,1,1,1,0,0,w/d in unit,off-street parking,ak
eugene,1460,apartment,1105,3,2,1,1,0,0,w/d in unit,carport,or
raleigh / durham / CH,925,apartment,950,2,2,0,0,1,0,NA,NA,nc
boise,1295,house,1121,3,2,0,0,1,0,w/d hookups,attached garage,id
memphis,500,apartment,573,1,1,1,1,0,0,laundry on site,off-street parking,tn
northern panhandle,800,apartment,980,2,1,0,0,0,0,w/d hookups,street parking,oh
san diego,2465,apartment,1135,2,2.5,1,1,1,0,w/d in unit,attached garage,ca
bloomington,1000,house,2400,3,2,0,0,1,0,w/d hookups,detached garage,in
fresno / madera,1289,apartment,1008,3,2,1,1,0,0,w/d hookups,carport,ca
mankato,940,apartment,983,2,1,1,1,0,0,w/d in unit,off-street parking,mn
rhode island,1675,apartment,794,2,1,1,1,1,0,w/d in unit,street parking,ri
fort collins / north CO,1584,apartment,1096,2,2,0,0,1,0,NA,NA,co
tulsa,679,apartment,1000,2,2,1,1,1,0,laundry on site,off-street parking,ok
lansing,899,manufactured,1216,3,2,1,1,1,0,w/d hookups,NA,mi
topeka,1195,townhouse,1412,2,2.5,1,1,1,0,w/d in unit,attached garage,ks
milwaukee,1395,flat,1500,2,1,1,1,0,0,laundry in bldg,detached garage,wi
anchorage / mat-su,1495,apartment,1152,3,1.5,0,0,0,0,w/d in unit,attached garage,ak
fayetteville,790,apartment,1035,2,2,1,1,1,0,w/d hookups,NA,nc
norfolk / hampton roads,982,apartment,1000,2,2,1,1,1,0,w/d hookups,off-street parking,va
gainesville,940,apartment,987,2,2,1,1,1,0,NA,NA,fl
fargo / moorhead,535,apartment,725,2,1,1,0,0,0,laundry in bldg,off-street parking,mn
raleigh / durham / CH,1375,apartment,1304,3,2,1,1,1,0,w/d hookups,off-street parking,nc
tyler / east TX,1185,apartment,1225,3,2,1,1,1,0,w/d hookups,off-street parking,tx
inland empire,1715,townhouse,1000,2,2.5,1,1,1,0,w/d in unit,detached garage,ca
tyler / east TX,765,apartment,857,2,1,0,0,1,0,w/d hookups,NA,tx
orlando,1430,apartment,824,1,1,1,1,0,0,w/d in unit,attached garage,fl
fort collins / north CO,1110,apartment,392,0,1,1,1,0,0,w/d in unit,NA,co
cleveland,895,house,1174,3,1.5,1,1,1,0,w/d hookups,detached garage,oh
northern michigan,895,townhouse,1080,2,1.5,0,0,0,0,w/d hookups,off-street parking,mi
kenosha-racine,1080,apartment,750,1,1,1,1,1,0,laundry in bldg,off-street parking,wi
palm springs,1053,apartment,1052,3,2,0,0,0,0,laundry on site,carport,ca
clarksville,970,apartment,1000,2,1,1,1,1,0,w/d in unit,off-street parking,tn
fayetteville,930,apartment,1123,2,2,1,1,1,0,w/d hookups,NA,nc
new orleans,4000,house,5232,5,4.5,0,1,1,0,laundry in bldg,attached garage,la
fredericksburg,1259,townhouse,1353,3,2,1,1,1,0,w/d hookups,street parking,va
sioux city,570,house,850,2,2,1,1,1,0,NA,NA,ia
odessa / midland,925,apartment,740,1,1,1,1,1,0,laundry on site,carport,tx
east idaho,575,apartment,500,1,1,0,1,1,0,laundry on site,off-street parking,id
inland empire,1279,apartment,630,1,1,1,1,0,0,w/d in unit,carport,ca
las vegas,805,apartment,877,2,1,1,1,1,0,laundry on site,carport,nv
lincoln,1005,apartment,1393,3,2,1,1,0,0,w/d in unit,off-street parking,ne
ann arbor,1190,apartment,967,2,2,1,1,1,0,w/d in unit,carport,mi
memphis,549,apartment,652,1,1,1,1,1,0,w/d hookups,off-street parking,tn
winston-salem,725,apartment,684,1,1,0,0,1,0,NA,NA,nc
monroe,815,apartment,540,1,1,1,1,1,0,w/d in unit,NA,mi
richmond,1216,apartment,1063,2,1,1,1,1,0,w/d in unit,off-street parking,va
las vegas,259,apartment,500,1,1,1,1,1,1,laundry on site,NA,nv
rochester,985,townhouse,1100,2,1,1,0,0,0,w/d hookups,off-street parking,ny
columbus,413,house,1023,3,2,1,1,1,1,NA,NA,oh
jacksonville,955,apartment,850,2,1.5,1,1,1,0,laundry on site,NA,nc
cleveland,875,house,1250,3,1.5,1,1,1,0,w/d hookups,detached garage,oh
richmond,985,apartment,1100,2,1.5,1,1,1,0,w/d in unit,off-street parking,va
albany,1550,apartment,1200,3,2,0,0,0,0,w/d in unit,street parking,ny
huntsville / decatur,799,apartment,705,1,1,1,1,1,0,w/d hookups,off-street parking,al
austin,2223,apartment,901,1,1,1,1,1,0,w/d in unit,NA,tx
inland empire,1685,apartment,710,1,1,1,1,1,0,w/d in unit,detached garage,ca
toledo,649,apartment,825,1,0,1,1,1,0,laundry in bldg,NA,oh
jacksonville,1300,apartment,996,2,2,0,0,0,0,w/d hookups,attached garage,fl
champaign urbana,545,apartment,1100,2,2,0,0,1,0,NA,NA,il
el paso,670,apartment,650,2,1,1,1,1,0,laundry on site,off-street parking,tx
orlando,1440,apartment,1224,2,2,0,0,1,0,NA,NA,fl
hawaii,2350,apartment,786,2,1,1,1,0,0,laundry in bldg,off-street parking,hi
albuquerque,1714,apartment,1298,0,2.5,1,1,1,0,w/d in unit,attached garage,nm
cincinnati,925,apartment,800,1,1,0,0,0,0,w/d in unit,carport,oh
eastern panhandle,880,apartment,854,2,1,1,1,1,0,laundry in bldg,off-street parking,wv
jersey shore,3507,apartment,900,2,2,1,1,0,0,w/d in unit,carport,nj
grand forks,545,apartment,522,1,1,1,1,1,0,laundry in bldg,off-street parking,nd
tampa bay area,956,apartment,763,1,1,1,1,1,0,NA,NA,fl
monroe,1099,manufactured,1620,3,2,1,1,1,0,w/d in unit,off-street parking,mi
visalia-tulare,1330,apartment,608,1,1,1,1,1,0,laundry on site,carport,ca
pittsburgh,1100,house,1000,2,2,0,0,0,0,w/d hookups,street parking,pa
macon / warner robins,750,apartment,950,2,1,1,1,1,0,NA,NA,ga
abilene,899,apartment,912,2,2,1,1,1,0,w/d in unit,off-street parking,tx
eastern NC,600,apartment,704,2,1,0,0,1,0,w/d hookups,off-street parking,nc
winston-salem,750,apartment,1008,2,1.5,1,1,1,0,w/d hookups,off-street parking,nc
atlanta,1160,apartment,1100,2,1,1,1,1,0,w/d hookups,NA,ga
ithaca,1390,apartment,915,1,1,1,1,1,0,laundry on site,detached garage,ny
ft myers / SW florida,1335,apartment,1202,2,2,1,1,1,0,w/d in unit,street parking,fl
odessa / midland,2400,apartment,1149,2,2,1,1,1,0,w/d in unit,off-street parking,tx
rhode island,1700,apartment,780,2,1,1,1,1,0,w/d in unit,street parking,ri
tri-cities,595,apartment,1000,2,1,0,0,1,0,laundry on site,off-street parking,tn
bakersfield,893,apartment,970,3,2,0,0,1,0,laundry on site,carport,ca
amarillo,509,apartment,700,2,2,1,1,1,1,w/d in unit,off-street parking,tx
jacksonville,9976.19999999997,apartment,842,1,1,1,1,1,0,w/d hookups,off-street parking,nc
seattle-tacoma,2324,apartment,1138,3,2,1,1,0,0,w/d in unit,carport,wa
el paso,825,apartment,984,2,2,1,1,0,0,w/d in unit,off-street parking,tx
jackson,705,apartment,900,1,1,0,0,1,0,w/d hookups,off-street parking,ms
new hampshire,2030,apartment,1027,2,1,1,1,1,0,w/d in unit,off-street parking,nh
mobile,695,apartment,686,1,1,1,1,0,0,w/d hookups,street parking,al
panama city,1340,apartment,816,1,1,1,1,0,1,w/d in unit,off-street parking,fl
ventura county,1970,apartment,798,1,1,1,1,1,0,NA,NA,ca
grand rapids,1488,apartment,1100,2,3,1,1,1,0,w/d in unit,carport,mi
wilmington,1230,apartment,1405,3,2,1,1,1,0,NA,no parking,nc
charlotte,1107,apartment,790,1,1,0,0,1,0,NA,NA,nc
grand rapids,860,apartment,947,2,1.5,1,1,1,0,w/d hookups,carport,mi
skagit / island / SJI,1434,apartment,786,1,1,1,1,1,0,w/d in unit,NA,wa
san marcos,1050,apartment,654,1,1,1,1,1,0,w/d in unit,NA,tx
annapolis,1618,apartment,948,1,1,1,1,1,0,w/d in unit,off-street parking,md
fresno / madera,1289,apartment,1008,3,2,1,1,0,0,w/d in unit,carport,ca
kennewick-pasco-richland,1350,apartment,1028,2,1,1,1,0,0,w/d in unit,off-street parking,wa
greenville / upstate,1099,apartment,1133,2,2,1,1,1,0,w/d hookups,off-street parking,sc
albany,521,apartment,595,1,1,1,1,1,0,laundry on site,off-street parking,ga
los angeles,1095,condo,350,3,2,1,1,0,1,w/d in unit,carport,ca
orlando,1045,apartment,800,1,1,1,1,1,0,w/d hookups,NA,fl
frederick,1082,apartment,695,1,1,1,1,1,0,w/d in unit,NA,md
SF bay area,1900,townhouse,1162,2,1.5,0,0,0,0,w/d hookups,NA,ca
north mississippi,955,apartment,1050,2,2,1,1,1,0,NA,NA,ms
lincoln,1075,apartment,1596,3,2,1,1,0,0,w/d hookups,off-street parking,ne
san diego,1800,apartment,1000,2,1,0,0,0,0,laundry on site,detached garage,ca
lafayette,945,apartment,940,1,1,1,1,0,0,w/d hookups,NA,la
brownsville,1230,apartment,1150,3,2,1,1,1,0,w/d in unit,carport,tx
flint,620,apartment,618,1,1,1,1,1,0,laundry in bldg,NA,mi
wichita falls,842,apartment,1137,3,2,1,1,1,0,w/d hookups,NA,tx
"st louis, MO",1157,apartment,801,1,1,1,1,1,0,w/d in unit,carport,il
